date,Temperature,Humidity,Light,CO2,Occupancy
2/2/2015 14:19,23.7,26.272,585.2,749.2,1
2/2/2015 14:19,23.718,26.29,578.4,760.4,1
2/2/2015 14:21,23.73,26.23,572.6666667,769.6666667,1
2/2/2015 14:22,23.7225,26.125,493.75,774.75,1
2/2/2015 14:23,23.754,26.2,488.6,779.0,1
2/2/2015 14:23,23.76,26.26,568.6666667,790.0,1
2/2/2015 14:25,23.73,26.29,536.3333333,798.0,1
2/2/2015 14:25,23.754,26.29,509.0,797.0,1
2/2/2015 14:26,23.754,26.35,476.0,803.2,1
2/2/2015 14:28,23.736,26.39,510.0,809.0,1
2/2/2015 14:29,23.745,26.445,481.5,815.25,1
2/2/2015 14:30,23.7,26.56,481.8,824.0,1
2/2/2015 14:31,23.7,26.6,475.25,832.0,1
2/2/2015 14:31,23.7,26.7,469.0,845.3333333,1
2/2/2015 14:32,23.7,26.774,464.0,852.4,1
2/2/2015 14:34,23.7,26.89,464.0,861.0,1
2/2/2015 14:35,23.7,26.9725,455.0,880.0,1
2/2/2015 14:36,23.6,26.89,454.0,891.0,1
2/2/2015 14:37,23.64,26.976,458.0,897.6,1
2/2/2015 14:38,23.65,27.05,464.0,900.5,1
2/2/2015 14:38,23.64,27.1,473.0,908.8,1
2/2/2015 14:39,23.6,27.16,464.0,918.0,1
2/2/2015 14:41,23.6,27.236,498.4,925.2,1
2/2/2015 14:42,23.6,27.29,530.2,929.4,1
2/2/2015 14:43,23.6,27.33,533.6,936.4,1
2/2/2015 14:44,23.6,27.34,524.25,950.0,1
2/2/2015 14:44,23.625,27.3925,498.6666667,961.0,1
2/2/2015 14:45,23.6,27.39,516.3333333,963.0,1
2/2/2015 14:47,23.6,27.412,501.2,958.6,1
2/2/2015 14:48,23.6,27.5,522.0,965.3333333,1
2/2/2015 14:49,23.6,27.525,520.5,979.25,1
2/2/2015 14:50,23.6,27.6,505.2857143,978.4285714,1
2/2/2015 14:51,23.6,27.6,488.3333333,983.0,1
2/2/2015 14:51,23.6,27.54,512.0,992.6,1
2/2/2015 14:53,23.6,27.6,511.0,997.2,1
2/2/2015 14:54,23.61666667,27.63333333,501.5,999.5,1
2/2/2015 14:55,23.66666667,27.7,503.6666667,1001.0,1
2/2/2015 14:55,23.6,27.7,483.1666667,1009.5,1
2/2/2015 14:57,23.6,27.7225,483.5,1019.0,1
2/2/2015 14:57,23.6,27.79,473.0,1021.0,1
2/2/2015 14:58,23.6,27.85666667,470.3333333,1024.666667,1
2/2/2015 15:00,23.6,27.80428571,480.1428571,1030.428571,1
2/2/2015 15:01,23.575,27.79,464.0,1026.25,1
2/2/2015 15:02,23.54,27.81,474.4,1028.0,1
2/2/2015 15:03,23.6,27.978,470.0,1034.8,1
2/2/2015 15:04,23.525,28.0,454.0,1055.5,1
2/2/2015 15:04,23.5,27.978,454.0,1055.25,1
